txn_id,portfolio_id,user_id,stock_id,ticker,txn_type,quantity,price,total_value,fee,date,status
T000100,PF0012,U005,S007,NVDA,SELL,11,440.7,4847.7,1.57,2023-09-05,PENDING
T000101,PF0012,U005,S007,NVDA,SELL,37,394.67,14602.79,1.34,2021-05-19,PENDING
T000102,PF0012,U005,S007,NVDA,BUY,42,439.62,18464.04,4.83,2021-12-31,COMPLETED
T000103,PF0012,U005,S007,NVDA,SELL,14,469.78,6576.92,1.62,2023-10-03,PENDING
T000104,PF0013,U005,S001,AAPL,BUY,45,193.29,8698.05,4.9,2022-10-04,PENDING
T000105,PF0013,U005,S001,AAPL,BUY,3,198.46,595.38,3.88,2023-04-12,COMPLETED
T000106,PF0013,U005,S001,AAPL,SELL,28,183.3,5132.4,2.73,2021-06-22,PENDING
T000107,PF0013,U005,S001,AAPL,BUY,35,200.68,7023.8,1.85,2023-01-30,FAILED
T000108,PF0013,U005,S001,AAPL,BUY,13,205.93,2677.09,1.52,2023-11-16,FAILED
T000109,PF0013,U005,S001,AAPL,BUY,28,211.15,5912.2,1.98,2022-05-20,COMPLETED
T000110,PF0013,U005,S001,AAPL,SELL,19,208.96,3970.24,3.28,2023-09-19,PENDING
T000111,PF0013,U005,S001,AAPL,BUY,40,172.47,6898.8,1.03,2021-09-24,PENDING
T000112,PF0013,U005,S001,AAPL,SELL,33,182.35,6017.55,3.48,2023-03-08,PENDING
T000113,PF0013,U005,S001,AAPL,BUY,6,190.05,1140.3,3.84,2022-01-05,COMPLETED
T000114,PF0014,U005,S008,META,SELL,17,342.09,5815.53,4.49,2022-12-23,FAILED
T000115,PF0014,U005,S008,META,SELL,21,342.27,7187.67,3.14,2023-03-20,COMPLETED
T000116,PF0014,U005,S008,META,SELL,41,277.49,11377.09,3.31,2021-10-15,COMPLETED
T000117,PF0014,U005,S008,META,BUY,46,330.72,15213.12,1.19,2022-09-20,FAILED
T000118,PF0014,U005,S008,META,SELL,8,325.23,2601.84,1.21,2023-06-16,COMPLETED
T000119,PF0014,U005,S008,META,SELL,39,319.52,12461.28,2.31,2021-07-08,COMPLETED
T000120,PF0014,U005,S008,META,BUY,39,330.57,12892.23,1.24,2021-11-12,COMPLETED
T000121,PF0014,U005,S008,META,SELL,26,298.95,7772.7,4.85,2022-05-31,COMPLETED
T000122,PF0014,U005,S008,META,BUY,42,315.14,13235.88,4.11,2021-02-15,COMPLETED
T000123,PF0014,U005,S008,META,SELL,44,306.37,13480.28,4.65,2021-03-30,COMPLETED
T000124,PF0014,U005,S008,META,BUY,41,316.22,12965.02,1.47,2021-06-21,FAILED
T000125,PF0015,U005,S006,JPM,BUY,9,179.95,1619.55,3.48,2021-01-08,FAILED
T000126,PF0015,U005,S006,JPM,SELL,49,213.33,10453.17,4.34,2021-07-22,FAILED
T000127,PF0015,U005,S006,JPM,SELL,4,184.16,736.64,4.43,2021-07-02,COMPLETED
T000128,PF0015,U005,S006,JPM,BUY,4,209.68,838.72,2.06,2023-03-27,FAILED
T000129,PF0015,U005,S006,JPM,SELL,14,209.92,2938.88,2.11,2022-02-18,PENDING
T000130,PF0015,U005,S006,JPM,BUY,14,196.15,2746.1,2.86,2023-05-12,COMPLETED
T000131,PF0015,U005,S006,JPM,SELL,22,198.3,4362.6,1.97,2022-01-26,FAILED
T000132,PF0016,U006,S005,AMZN,SELL,35,167.9,5876.5,1.15,2022-06-23,COMPLETED
T000133,PF0016,U006,S005,AMZN,SELL,28,198.53,5558.84,4.33,2023-01-11,FAILED
T000134,PF0016,U006,S005,AMZN,SELL,7,181.64,1271.48,1.33,2022-05-26,COMPLETED
T000135,PF0017,U006,S008,META,BUY,27,426.53,11516.31,4.02,2023-07-19,COMPLETED
T000136,PF0017,U006,S008,META,SELL,38,362.26,13765.88,0.74,2022-04-29,FAILED
T000137,PF0017,U006,S008,META,BUY,47,422.38,19851.86,4.23,2021-06-29,COMPLETED
T000138,PF0017,U006,S008,META,BUY,33,398.43,13148.19,0.96,2022-03-14,COMPLETED
T000139,PF0017,U006,S008,META,SELL,49,384.46,18838.54,2.99,2021-01-25,FAILED
T000140,PF0017,U006,S008,META,BUY,46,432.78,19907.88,3.81,2023-11-29,FAILED
T000141,PF0017,U006,S008,META,BUY,17,383.93,6526.81,3.7,2023-04-03,COMPLETED
T000142,PF0018,U006,S003,TSLA,BUY,27,277.44,7490.88,2.12,2022-04-25,COMPLETED
T000143,PF0018,U006,S003,TSLA,SELL,50,297.48,14874.0,2.15,2023-05-15,COMPLETED
T000144,PF0018,U006,S003,TSLA,BUY,4,272.24,1088.96,3.7,2023-01-02,COMPLETED
T000145,PF0018,U006,S003,TSLA,BUY,22,259.94,5718.68,3.95,2022-10-05,PENDING
T000146,PF0018,U006,S003,TSLA,BUY,32,258.25,8264.0,3.08,2023-06-21,COMPLETED
T000147,PF0019,U006,S001,AAPL,SELL,8,163.43,1307.44,2.81,2022-02-14,COMPLETED
T000148,PF0019,U006,S001,AAPL,SELL,16,177.23,2835.68,2.61,2022-02-21,COMPLETED
T000149,PF0019,U006,S001,AAPL,BUY,46,169.58,7800.68,1.99,2021-01-27,COMPLETED
T000150,PF0019,U006,S001,AAPL,SELL,36,190.78,6868.08,3.06,2023-05-12,PENDING
T000151,PF0019,U006,S001,AAPL,SELL,47,191.3,8991.1,0.97,2022-10-26,PENDING
T000152,PF0019,U006,S001,AAPL,BUY,37,171.75,6354.75,2.39,2021-07-12,PENDING
T000153,PF0019,U006,S001,AAPL,BUY,24,181.25,4350.0,2.04,2021-06-21,COMPLETED
T000154,PF0020,U007,S004,GOOGL,BUY,17,156.51,2660.67,4.05,2022-10-11,PENDING
T000155,PF0020,U007,S004,GOOGL,BUY,10,166.04,1660.4,4.93,2022-03-10,PENDING
T000156,PF0020,U007,S004,GOOGL,SELL,26,147.76,3841.76,4.12,2021-08-03,COMPLETED
T000157,PF0020,U007,S004,GOOGL,SELL,45,156.62,7047.9,1.74,2022-06-14,PENDING
T000158,PF0021,U007,S006,JPM,BUY,19,223.75,4251.25,2.01,2021-03-15,COMPLETED
T000159,PF0021,U007,S006,JPM,BUY,40,223.88,8955.2,4.49,2022-02-22,COMPLETED
T000160,PF0021,U007,S006,JPM,SELL,8,199.99,1599.92,3.01,2022-09-19,COMPLETED
T000161,PF0021,U007,S006,JPM,BUY,43,202.63,8713.09,4.86,2021-10-21,PENDING
T000162,PF0021,U007,S006,JPM,BUY,36,217.54,7831.44,3.25,2022-08-19,COMPLETED
T000163,PF0021,U007,S006,JPM,SELL,48,206.92,9932.16,0.63,2022-03-10,PENDING
T000164,PF0021,U007,S006,JPM,SELL,19,190.11,3612.09,2.63,2023-12-27,COMPLETED
T000165,PF0021,U007,S006,JPM,SELL,36,195.43,7035.48,1.21,2022-04-20,FAILED
T000166,PF0021,U007,S006,JPM,BUY,15,198.52,2977.8,2.22,2022-10-19,COMPLETED
T000167,PF0021,U007,S006,JPM,SELL,16,219.76,3516.16,3.5,2023-06-05,PENDING
T000168,PF0021,U007,S006,JPM,BUY,34,224.76,7641.84,2.95,2021-02-23,COMPLETED
T000169,PF0021,U007,S006,JPM,BUY,24,216.2,5188.8,2.98,2021-05-10,FAILED
T000170,PF0022,U007,S005,AMZN,BUY,14,163.4,2287.6,1.23,2021-05-17,COMPLETED
T000171,PF0022,U007,S005,AMZN,BUY,13,183.05,2379.65,3.79,2021-03-12,COMPLETED
T000172,PF0022,U007,S005,AMZN,BUY,32,179.27,5736.64,1.33,2023-03-31,COMPLETED
T000173,PF0023,U007,S007,NVDA,SELL,35,524.82,18368.7,2.51,2023-08-21,COMPLETED
T000174,PF0023,U007,S007,NVDA,SELL,5,524.71,2623.55,3.26,2023-07-31,FAILED
T000175,PF0023,U007,S007,NVDA,BUY,29,520.22,15086.38,3.88,2022-03-04,PENDING
T000176,PF0023,U007,S007,NVDA,BUY,16,545.94,8735.04,1.73,2022-10-13,COMPLETED
T000177,PF0023,U007,S007,NVDA,BUY,15,495.31,7429.65,3.64,2023-11-28,COMPLETED
T000178,PF0023,U007,S007,NVDA,BUY,50,507.24,25362.0,1.81,2022-03-01,COMPLETED
T000179,PF0023,U007,S007,NVDA,SELL,27,496.21,13397.67,4.31,2021-08-04,COMPLETED
T000180,PF0023,U007,S007,NVDA,SELL,13,548.06,7124.78,3.93,2022-10-28,PENDING
T000181,PF0023,U007,S007,NVDA,SELL,27,488.61,13192.47,3.17,2023-05-11,COMPLETED
T000182,PF0023,U007,S007,NVDA,BUY,45,523.59,23561.55,2.49,2023-01-16,COMPLETED
T000183,PF0023,U007,S007,NVDA,SELL,11,496.68,5463.48,2.86,2022-01-28,COMPLETED
T000184,PF0023,U007,S007,NVDA,SELL,17,504.9,8583.3,3.24,2022-03-17,FAILED
T000185,PF0024,U007,S003,TSLA,BUY,6,292.67,1756.02,1.98,2023-10-09,PENDING
T000186,PF0024,U007,S003,TSLA,BUY,10,255.98,2559.8,1.75,2022-08-04,COMPLETED
T000187,PF0024,U007,S003,TSLA,BUY,38,289.6,11004.8,4.3,2023-06-20,FAILED
T000188,PF0024,U007,S003,TSLA,BUY,38,267.48,10164.24,2.38,2022-06-24,FAILED
T000189,PF0024,U007,S003,TSLA,SELL,8,283.77,2270.16,2.91,2021-04-05,COMPLETED
T000190,PF0024,U007,S003,TSLA,SELL,10,258.79,2587.9,3.97,2023-04-10,COMPLETED
T000191,PF0024,U007,S003,TSLA,BUY,32,252.48,8079.36,4.56,2022-01-19,COMPLETED
T000192,PF0024,U007,S003,TSLA,BUY,32,286.49,9167.68,3.97,2022-11-03,COMPLETED
T000193,PF0024,U007,S003,TSLA,SELL,5,256.44,1282.2,2.36,2022-07-12,COMPLETED
T000194,PF0024,U007,S003,TSLA,SELL,34,301.82,10261.88,2.73,2023-10-12,COMPLETED
T000195,PF0024,U007,S003,TSLA,SELL,22,263.86,5804.92,2.23,2021-03-17,COMPLETED
T000196,PF0025,U007,S008,META,SELL,42,375.57,15773.94,4.61,2022-10-10,COMPLETED
T000197,PF0025,U007,S008,META,BUY,36,364.67,13128.12,0.74,2022-10-25,COMPLETED
T000198,PF0025,U007,S008,META,BUY,48,322.97,15502.56,2.28,2022-05-02,PENDING
T000199,PF0025,U007,S008,META,BUY,41,332.43,13629.63,3.2,2023-07-26,COMPLETED
T000200,PF0025,U007,S008,META,SELL,11,348.6,3834.6,2.15,2022-08-19,COMPLETED
T000201,PF0025,U007,S008,META,SELL,23,327.65,7535.95,1.63,2022-01-04,COMPLETED
T000202,PF0025,U007,S008,META,BUY,19,324.44,6164.36,4.9,2021-09-14,FAILED
T000203,PF0025,U007,S008,META,BUY,30,367.61,11028.3,4.39,2022-09-13,COMPLETED
T000204,PF0025,U007,S008,META,BUY,6,361.2,2167.2,0.92,2021-03-16,FAILED
T000205,PF0025,U007,S008,META,SELL,43,314.55,13525.65,2.03,2022-05-16,COMPLETED
T000206,PF0025,U007,S008,META,BUY,15,337.11,5056.65,4.33,2023-06-21,COMPLETED
T000207,PF0025,U007,S008,META,BUY,41,333.02,13653.82,1.34,2021-03-15,COMPLETED
T000208,PF0026,U008,S005,AMZN,BUY,31,196.42,6089.02,2.34,2023-10-17,COMPLETED
T000209,PF0026,U008,S005,AMZN,SELL,43,184.29,7924.47,3.72,2021-09-27,COMPLETED
T000210,PF0026,U008,S005,AMZN,BUY,36,164.8,5932.8,2.31,2021-07-06,FAILED
T000211,PF0026,U008,S005,AMZN,SELL,48,193.44,9285.12,0.69,2023-06-05,COMPLETED
T000212,PF0027,U008,S004,GOOGL,SELL,34,172.85,5876.9,2.56,2021-07-02,COMPLETED
T000213,PF0027,U008,S004,GOOGL,SELL,27,176.6,4768.2,3.19,2023-04-14,COMPLETED
T000214,PF0027,U008,S004,GOOGL,BUY,46,169.4,7792.4,3.27,2021-07-12,PENDING
T000215,PF0027,U008,S004,GOOGL,SELL,19,170.8,3245.2,4.56,2021-05-19,FAILED
T000216,PF0028,U008,S007,NVDA,BUY,1,443.68,443.68,2.65,2021-03-08,COMPLETED
T000217,PF0028,U008,S007,NVDA,BUY,28,391.9,10973.2,3.17,2021-06-29,COMPLETED
T000218,PF0028,U008,S007,NVDA,BUY,36,439.94,15837.84,1.79,2021-07-22,COMPLETED
T000219,PF0028,U008,S007,NVDA,BUY,29,407.17,11807.93,4.25,2022-10-24,COMPLETED
T000220,PF0028,U008,S007,NVDA,BUY,40,396.55,15862.0,1.77,2022-02-14,COMPLETED
T000221,PF0029,U009,S008,META,BUY,23,347.38,7989.74,0.69,2022-08-18,COMPLETED
T000222,PF0029,U009,S008,META,BUY,27,391.47,10569.69,2.03,2021-10-19,COMPLETED
T000223,PF0029,U009,S008,META,SELL,17,351.67,5978.39,1.99,2022-08-25,COMPLETED
T000224,PF0029,U009,S008,META,BUY,9,385.77,3471.93,3.53,2022-08-30,PENDING
T000225,PF0030,U009,S002,MSFT,SELL,10,441.43,4414.3,1.91,2022-11-11,COMPLETED
T000226,PF0030,U009,S002,MSFT,SELL,23,485.01,11155.23,4.3,2021-01-13,PENDING
T000227,PF0030,U009,S002,MSFT,BUY,28,453.51,12698.28,1.93,2023-03-02,COMPLETED
T000228,PF0030,U009,S002,MSFT,SELL,6,465.05,2790.3,0.91,2021-04-14,PENDING
T000229,PF0030,U009,S002,MSFT,SELL,39,416.95,16261.05,1.31,2022-10-14,COMPLETED
T000230,PF0030,U009,S002,MSFT,SELL,13,453.05,5889.65,1.53,2022-06-09,COMPLETED
T000231,PF0030,U009,S002,MSFT,SELL,24,423.76,10170.24,1.77,2021-01-27,FAILED
T000232,PF0030,U009,S002,MSFT,BUY,6,481.85,2891.1,2.38,2023-10-04,PENDING
T000233,PF0030,U009,S002,MSFT,SELL,38,426.1,16191.8,1.15,2021-03-24,COMPLETED
T000234,PF0030,U009,S002,MSFT,BUY,3,411.64,1234.92,1.29,2023-10-12,COMPLETED
T000235,PF0030,U009,S002,MSFT,SELL,22,458.27,10081.94,3.57,2022-08-17,COMPLETED
T000236,PF0030,U009,S002,MSFT,BUY,47,400.63,18829.61,0.81,2023-04-05,COMPLETED
T000237,PF0031,U009,S005,AMZN,BUY,33,188.31,6214.23,1.92,2023-10-18,COMPLETED
T000238,PF0031,U009,S005,AMZN,BUY,19,204.68,3888.92,2.14,2023-05-23,COMPLETED
T000239,PF0031,U009,S005,AMZN,SELL,13,221.7,2882.1,0.53,2021-11-19,PENDING
T000240,PF0031,U009,S005,AMZN,SELL,45,200.63,9028.35,2.59,2023-10-16,COMPLETED
T000241,PF0031,U009,S005,AMZN,BUY,35,227.9,7976.5,1.04,2021-01-06,COMPLETED
T000242,PF0031,U009,S005,AMZN,BUY,29,188.32,5461.28,3.4,2021-12-02,COMPLETED
T000243,PF0031,U009,S005,AMZN,BUY,48,199.12,9557.76,0.78,2022-10-27,COMPLETED
T000244,PF0032,U009,S004,GOOGL,SELL,40,177.92,7116.8,4.53,2023-10-09,COMPLETED
T000245,PF0032,U009,S004,GOOGL,SELL,41,205.07,8407.87,3.84,2021-11-03,COMPLETED
T000246,PF0032,U009,S004,GOOGL,SELL,35,186.46,6526.1,2.88,2022-10-07,PENDING
T000247,PF0032,U009,S004,GOOGL,SELL,24,172.38,4137.12,3.21,2022-06-29,PENDING
T000248,PF0032,U009,S004,GOOGL,BUY,45,203.17,9142.65,1.57,2023-11-29,COMPLETED
T000249,PF0032,U009,S004,GOOGL,SELL,47,186.0,8742.0,4.21,2021-03-25,COMPLETED
T000250,PF0032,U009,S004,GOOGL,SELL,36,178.74,6434.64,3.72,2022-06-29,COMPLETED
T000251,PF0033,U010,S008,META,BUY,25,368.48,9212.0,2.74,2023-04-26,FAILED
T000252,PF0033,U010,S008,META,SELL,17,405.11,6886.87,0.69,2023-05-16,COMPLETED
T000253,PF0033,U010,S008,META,SELL,41,369.2,15137.2,4.96,2023-10-10,COMPLETED
T000254,PF0033,U010,S008,META,SELL,22,392.34,8631.48,4.68,2021-08-04,COMPLETED
T000255,PF0033,U010,S008,META,BUY,32,416.03,13312.96,4.95,2022-11-03,COMPLETED
T000256,PF0033,U010,S008,META,BUY,26,359.43,9345.18,0.56,2021-01-12,FAILED
T000257,PF0033,U010,S008,META,BUY,10,399.2,3992.0,3.74,2023-07-20,PENDING
T000258,PF0033,U010,S008,META,BUY,11,378.85,4167.35,3.91,2021-06-10,PENDING
T000259,PF0033,U010,S008,META,SELL,5,354.49,1772.45,2.46,2023-11-29,COMPLETED
T000260,PF0034,U010,S004,GOOGL,SELL,15,188.34,2825.1,0.51,2021-02-10,COMPLETED
T000261,PF0034,U010,S004,GOOGL,BUY,37,170.34,6302.58,3.0,2023-04-27,PENDING
T000262,PF0034,U010,S004,GOOGL,BUY,13,211.58,2750.54,2.74,2021-03-15,PENDING
T000263,PF0035,U010,S001,AAPL,BUY,23,174.15,4005.45,4.1,2021-09-01,FAILED
T000264,PF0035,U010,S001,AAPL,BUY,32,171.45,5486.4,4.02,2022-10-26,COMPLETED
T000265,PF0035,U010,S001,AAPL,SELL,30,146.57,4397.1,2.23,2022-02-04,COMPLETED
T000266,PF0035,U010,S001,AAPL,BUY,22,156.73,3448.06,3.45,2021-05-26,FAILED
T000267,PF0035,U010,S001,AAPL,BUY,2,175.37,350.74,2.52,2022-08-01,COMPLETED
T000268,PF0035,U010,S001,AAPL,BUY,45,169.61,7632.45,3.58,2023-05-04,FAILED
T000269,PF0035,U010,S001,AAPL,BUY,23,171.94,3954.62,4.55,2021-08-31,COMPLETED
